HEADER;;PRECINCT;REGISTERED;BALLOTS;TURNOUT;;TOTAL_S;DEM_S;REP_S;;;;;;;;;TOTAL_I;BIDEN;TRUMP;;;;;;;;;REP_PERCENT;T_MINUS_R;;IND_PERCENT;;;
COMMENT;;;;;;;;Nur straight;;;;;;;;;;Nur individualle;;;Achtung, das ist die Summe, mit straight votes!;;;;;;;;;;Min;16,1;;;
COMMENT;;;;;;;;;;Straight Party;;;;;;;;;;;Individual;;;;;;;;;;Max;55,7;;;
COMMENT;;TOTALS: 252 of 252;Registered voters;Ballots Cast;Turnout;;Total;DEM %;REP %;Democratic Party;Republican Party;Libertarian Party;US Taxpayers Party;Working Class Party;Green Party;Natural Law Party;;Total;Biden %;Trump %;Joseph R. Biden w/ Kamala D. Harris;Donald J. Trump w/ Michael R. Pence;Jo Jorgensen w/ Jeremy Cohen;Don Blankenship w/ William Mohr;Howie Hawkins w/ Angela Walker;Rocky De La Fuente w/ Darcy Richardson;Total write-in;;REP %;Trump % - REP %;;Ind %;;;
COMMENT;;TOTAL;501117;363694;72.58%;;213006;48,5;50,0;103259;106518;1512;287;766;483;181;;149025;56,8;39,7;187915;165741;5495;490;957;241;1192;;50,0;-10,3;;41,2;;;
DATA;;Ada Township Precinct 1;1316;1095;83.21%;;567;45,1;54,3;256;308;0;0;2;1;0;;520;64,8;31,7;593;473;13;1;0;0;7;;54,3;-22,6;;47,8;;;
DATA;;Ada Township Precinct 2;2428;1979;81.51%;;989;45,7;53,7;452;531;2;0;1;2;1;;979;60,4;36,3;1043;886;28;1;5;1;4;;53,7;-17,4;;49,7;;;
DATA;;Ada Township Precinct 3;1397;1152;82.46%;;579;36,6;63,0;212;365;2;0;0;0;0;;566;53,0;40,1;512;592;28;2;3;0;8;;63,0;-22,9;;49,4;;;
DATA;;Ada Township Precinct 4;1168;982;84.08%;;579;28,8;70,8;167;410;2;0;0;0;0;;395;59,5;36,5;402;554;10;0;2;0;6;;70,8;-34,4;;40,6;;;
DATA;;Ada Township Precinct 5;2112;1765;83.57%;;985;27,3;71,6;269;705;6;1;2;1;1;;772;53,5;42,4;682;1032;34;0;1;1;7;;71,6;-29,2;;43,9;;;
DATA;;Ada Township Precinct 6;1031;824;79.92%;;424;43,2;55,7;183;236;2;0;0;3;0;;397;59,9;36,3;421;380;14;0;3;2;1;;55,7;-19,4;;48,4;;;
DATA;;Ada Township Precinct 7;1189;1016;85.45%;;470;42,3;56,6;199;266;4;0;0;1;0;;542;62,7;33,2;539;446;21;1;2;1;2;;56,6;-23,4;;53,6;;;
DATA;;Ada Township Precinct 8;1202;990;82.36%;;544;36,2;63,1;197;343;4;0;0;0;0;;439;57,6;38,0;450;510;15;1;1;1;5;;63,1;-25,0;;44,7;;;
DATA;;Algoma Township Precinct 1;1355;1096;80.89%;;664;28,2;70,8;187;470;4;0;2;1;0;;427;36,8;58,3;344;719;20;2;6;0;0;;70,8;-12,5;;39,1;;;
DATA;;Algoma Township Precinct 2;1648;1391;84.41%;;782;27,7;71,4;217;558;3;0;4;0;0;;607;40,4;56,7;462;902;24;0;1;0;0;;71,4;-14,7;;43,7;;;
DATA;;Algoma Township Precinct 3;1766;1469;83.18%;;859;23,9;75,2;205;646;4;0;3;1;0;;605;40,0;58,5;447;1000;15;1;1;0;0;;75,2;-16,7;;41,3;;;
DATA;;Algoma Township Precinct 4;1873;1426;76.13%;;823;33,4;65,2;275;537;8;0;3;0;0;;597;44,7;53,6;542;857;15;3;2;0;1;;65,2;-11,6;;42,0;;;
DATA;;Algoma Township Precinct 5;2513;2113;84.08%;;1175;29,9;69,4;351;816;3;0;3;2;0;;930;53,9;42,8;852;1214;32;1;4;1;1;;69,4;-26,7;;44,2;;;
DATA;;Alpine Township Precinct 1;1135;876;77.18%;;465;36,6;61,9;170;288;6;0;1;0;0;;406;41,1;54,9;337;511;17;1;1;0;4;;61,9;-7,0;;46,6;;;
DATA;;Alpine Township Precinct 2;1428;998;69.89%;;590;46,4;51,7;274;305;6;0;3;0;2;;406;57,4;41,1;507;472;13;0;1;2;1;;51,7;-10,6;;40,8;;;
DATA;;Alpine Township Precinct 3;2350;1856;78.98%;;995;42,5;56,2;423;559;8;0;3;2;0;;852;57,2;39,8;910;898;30;1;4;1;3;;56,2;-16,4;;46,1;;;
DATA;;Alpine Township Precinct 4;2388;1601;67.04%;;975;37,9;60,1;370;586;7;3;6;3;0;;623;42,7;56,3;636;937;12;3;0;3;7;;60,1;-3,8;;39,0;;;
DATA;;Alpine Township Precinct 5;1053;845;80.25%;;460;27,0;71,1;124;327;4;0;3;2;0;;381;39,4;59,8;274;555;8;2;1;0;1;;71,1;-11,2;;45,3;;;
DATA;;Alpine Township Precinct 6;2173;1056;48.6%;;669;67,4;30,2;451;202;4;3;4;3;2;;386;71,0;28,0;725;310;14;1;4;0;1;;30,2;-2,2;;36,6;;;
DATA;;Bowne Township Precinct 1;2578;2155;83.59%;;1220;17,0;82,5;208;1006;0;0;3;2;1;;922;36,2;59,8;542;1557;32;1;7;0;3;;82,5;-22,7;;43,0;;;
DATA;;Byron Township Precinct 1;2655;2214;83.39%;;1254;20,1;78,7;252;987;7;1;3;4;0;;944;39,4;54,7;624;1503;51;5;6;1;8;;78,7;-24,0;;42,9;;;
DATA;;Byron Township Precinct 2;2872;2492;86.77%;;1440;22,7;76,4;327;1100;8;3;0;2;0;;1030;46,5;50,6;806;1621;30;6;3;0;4;;76,4;-25,8;;41,7;;;
DATA;;Byron Township Precinct 3;3128;1561;49.9%;;1056;46,9;50,9;495;538;13;2;2;4;2;;502;49,4;46,6;743;772;27;4;9;1;2;;50,9;-4,3;;32,2;;;
DATA;;Byron Township Precinct 4;2179;1941;89.08%;;1176;14,4;85,3;169;1003;1;2;1;0;0;;761;34,8;60,4;434;1463;28;1;2;2;7;;85,3;-24,8;;39,3;;;
DATA;;Byron Township Precinct 5;2618;2264;86.48%;;1318;17,6;81,6;232;1076;5;2;1;2;0;;929;37,4;58,0;579;1615;40;1;2;0;10;;81,6;-23,6;;41,3;;;
DATA;;Byron Township Precinct 6;1585;1333;84.1%;;725;25,2;73,7;183;534;7;1;0;0;0;;605;47,6;48,8;471;829;20;2;3;4;1;;73,7;-24,9;;45,5;;;
DATA;;Byron Township Precinct 7;2610;2117;81.11%;;1208;29,6;69,5;358;840;7;0;2;0;1;;894;43,4;52,7;746;1311;32;2;1;3;7;;69,5;-16,9;;42,5;;;
DATA;;Byron Township Precinct 8;2407;2002;83.17%;;1206;34,8;64,2;420;774;8;0;1;2;1;;786;52,3;44,5;831;1124;23;2;2;1;9;;64,2;-19,6;;39,5;;;
DATA;;Caledonia Charter Township Precinct 1;1286;994;77.29%;;538;33,3;65,6;179;353;4;2;0;0;0;;454;54,0;42,1;424;544;19;0;2;0;3;;65,6;-23,5;;45,8;;;
DATA;;Caledonia Charter Township Precinct 2;2250;1799;79.96%;;1084;26,5;72,4;287;785;5;0;6;1;0;;706;47,7;49,2;624;1132;27;3;2;1;1;;72,4;-23,3;;39,4;;;
DATA;;Caledonia Charter Township Precinct 3;2227;1825;81.95%;;1005;22,7;75,6;228;760;8;3;4;2;0;;814;42,8;54,8;576;1206;27;5;4;1;0;;75,6;-20,8;;44,7;;;
DATA;;Caledonia Charter Township Precinct 4;1440;1226;85.14%;;689;21,6;77,5;149;534;3;1;2;0;0;;530;41,9;55,7;371;829;15;1;0;0;3;;77,5;-21,8;;43,5;;;
DATA;;Caledonia Charter Township Precinct 5;2691;2192;81.46%;;1212;27,1;72,2;328;875;6;1;0;1;1;;969;44,7;51,9;761;1378;26;2;5;3;6;;72,2;-20,3;;44,4;;;
DATA;;Caledonia Charter Township Precinct 6;2131;1701;79.82%;;930;31,6;67,4;294;627;3;1;2;2;1;;763;49,1;48,4;669;996;18;2;3;1;4;;67,4;-19,1;;45,1;;;
DATA;;Cannon Township Precinct 1;2238;1907;85.21%;;1005;29,0;70,0;291;703;8;1;1;1;0;;890;50,7;45,3;742;1106;32;2;5;2;6;;70,0;-24,7;;47,0;;;
DATA;;Cannon Township Precinct 2;2068;1705;82.45%;;933;29,2;70,1;272;654;3;1;2;1;0;;760;44,5;52,4;610;1052;26;1;2;0;2;;70,1;-17,7;;44,9;;;
DATA;;Cannon Township Precinct 3;1663;1409;84.73%;;757;32,2;67,0;244;507;3;0;1;2;0;;640;52,3;44,1;579;789;26;0;1;1;1;;67,0;-22,9;;45,8;;;
DATA;;Cannon Township Precinct 4;2515;2113;84.02%;;1095;33,8;65,1;370;713;5;1;4;2;0;;1003;53,1;43,9;903;1153;27;3;4;0;8;;65,1;-21,2;;47,8;;;
DATA;;Cannon Township Precinct 5;1649;1363;82.66%;;713;28,2;70,4;201;502;5;0;1;3;1;;642;46,9;50,5;502;826;18;3;2;1;3;;70,4;-19,9;;47,4;;;
DATA;;Cannon Township Precinct 6;2005;1650;82.29%;;814;29,7;69,4;242;565;2;1;4;0;0;;827;48,5;47,9;643;961;22;7;4;1;3;;69,4;-21,5;;50,4;;;
DATA;;Cascade Charter Township Precinct 1;1502;1289;85.82%;;671;33,7;66,2;226;444;1;0;0;0;0;;606;60,2;37,3;591;670;13;0;2;0;1;;66,2;-28,9;;47,5;;;
DATA;;Cascade Charter Township Precinct 2;1798;1516;84.32%;;771;37,9;61,7;292;476;1;1;0;1;0;;735;58,0;39,3;718;765;15;0;3;0;5;;61,7;-22,4;;48,8;;;
DATA;;Cascade Charter Township Precinct 3;1229;1047;85.19%;;556;36,9;62,4;205;347;2;0;0;1;1;;483;55,7;40,6;474;543;11;1;3;3;4;;62,4;-21,8;;46,5;;;
DATA;;Cascade Charter Township Precinct 4;1778;1539;86.56%;;757;39,0;59,8;295;453;7;0;2;0;0;;779;62,9;33,6;785;715;26;0;2;1;7;;59,8;-26,2;;50,7;;;
DATA;;Cascade Charter Township Precinct 5;2468;2084;84.44%;;1072;33,4;66,0;358;708;4;0;2;0;0;;997;55,4;41,3;910;1120;31;0;4;0;4;;66,0;-24,7;;48,2;;;
DATA;;Cascade Charter Township Precinct 6;1602;1338;83.52%;;702;48,7;50,3;342;353;4;0;2;1;0;;628;61,3;36,0;727;579;16;2;3;1;2;;50,3;-14,3;;47,2;;;
DATA;;Cascade Charter Township Precinct 7;1413;1074;76.01%;;671;39,8;59,2;267;397;5;1;0;1;0;;392;63,5;34,9;516;534;7;0;1;0;5;;59,2;-24,2;;36,9;;;
DATA;;Cascade Charter Township Precinct 8;1390;1207;86.83%;;597;47,7;51,6;285;308;2;1;1;0;0;;603;61,5;36,7;656;529;11;0;0;0;4;;51,6;-14,9;;50,3;;;
DATA;;Cascade Charter Township Precinct 9;1469;1263;85.98%;;603;42,5;56,9;256;343;1;0;1;1;1;;651;60,8;35,5;652;574;19;0;4;1;4;;56,9;-21,4;;51,9;;;
DATA;;Cascade Charter Township Precinct 10;1432;1221;85.27%;;616;30,4;68,7;187;423;5;0;0;1;0;;599;51,9;43,2;498;682;21;3;7;0;4;;68,7;-25,4;;49,3;;;
DATA;;Cedar Springs City Precinct 1;2551;1562;61.23%;;931;32,4;65,7;302;612;7;0;7;0;3;;628;40,8;54,8;558;956;30;6;2;1;6;;65,7;-11,0;;40,3;;;
DATA;;Courtland Township Precinct 1;2216;1854;83.66%;;893;33,4;65,8;298;588;5;0;1;0;1;;953;46,2;50,9;738;1073;24;1;5;1;4;;65,8;-15,0;;51,6;;;
DATA;;Courtland Township Precinct 2;2502;2069;82.69%;;1202;27,0;72,1;324;867;6;1;2;2;0;;863;38,5;57,4;656;1362;31;5;5;1;5;;72,1;-14,8;;41,8;;;
